"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "SCSS", "YAML", "CSS", "XML", "Log", "comment", "blank", "total"
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkCash\index.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkJournalEntry\index.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 12, 135
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkJournalEntry\index.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 34
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkOrder\index.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 7, 70
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkOrder\index.scss", "SCSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 38
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkProfitSheet\index.js", "JavaScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkProfitSheet\index.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkPurchaseOrders\index.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 10, 86
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\checkPurchaseOrders\index.scss", "SCSS", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 2, 50
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\compositionOfProduct\index.js", "JavaScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 45, 19, 162
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\compositionOfProduct\index.scss", "SCSS", 0, 0, 0, 0, 77, 0, 0, 0, 0, 27, 2, 106
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\deliveryWithOrder\index.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 8, 73
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\deliveryWithOrder\index.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\discountAccountsReceivable\index.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\discountAccountsReceivable\index.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\loanManagement\index.js", "JavaScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 11, 109
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\loanManagement\index.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\longLoan\index.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\longLoan\index.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\main\index.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 9, 96
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\main\index.scss", "SCSS", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\marketForecast\index.js", "JavaScript", 0, 0, 0, 146, 0, 0, 0, 0, 0, 2, 17, 165
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\marketForecast\index.scss", "SCSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\marketManagement\index.js", "JavaScript", 0, 0, 0, 115, 0, 0, 0, 0, 0, 16, 17, 148
"c:\Users\HUAWEI\Desktop\qq-erp\react-erp-dev\src\page\gameoperate\pages\marketManagement\index.scss", "SCSS", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
